mode,dataset_index,episode_index,delay,valid_action_steps,first_action_mae,first_action_mse,first4_mae,first4_mse,chunk_mae,chunk_mse
vlash,0,0,0,50,0.015276848338544369,0.00035336261498741806,0.026699796319007874,0.00214979937300086,0.14844642579555511,0.1173805445432663
vlash,3863,2,0,50,0.06947655230760574,0.012658190913498402,0.07060825079679489,0.012860539369285107,0.08878679573535919,0.01705670915544033
vlash,7727,5,0,50,0.07046136260032654,0.007634373847395182,0.07446146011352539,0.009070219472050667,0.11713481694459915,0.026153232902288437
vlash,11590,7,0,50,0.04672618582844734,0.00420331209897995,0.04757542163133621,0.004388335160911083,0.08582442998886108,0.011780798435211182
vlash,0,0,4,50,0.06111568957567215,0.011501910164952278,0.08303476125001907,0.027437400072813034,0.16177085041999817,0.12617841362953186
vlash,3863,2,4,50,0.06310763955116272,0.012739947065711021,0.06275086849927902,0.01224959921091795,0.0854043960571289,0.015274688601493835
vlash,7727,5,4,50,0.05458441749215126,0.007044921163469553,0.05694809928536415,0.007628843188285828,0.08795521408319473,0.02224772237241268
vlash,11590,7,4,50,0.05250295251607895,0.004044204484671354,0.05156755447387695,0.003838601289317012,0.06686834245920181,0.007876885123550892
vlash,0,0,8,50,0.12552997469902039,0.06532355397939682,0.14613933861255646,0.09643431007862091,0.16292747855186462,0.10249703377485275
vlash,3863,2,8,50,0.04205814003944397,0.0038239911664277315,0.04336610808968544,0.003936785738915205,0.053613025695085526,0.0056032161228358746
vlash,7727,5,8,50,0.05146876722574234,0.003927986137568951,0.05079125612974167,0.003807241562753916,0.07939446717500687,0.02929818071424961
vlash,11590,7,8,50,0.05856576934456825,0.006531510502099991,0.06449645012617111,0.008076620288193226,0.10510885715484619,0.023293819278478622
vlash,15454,10,0,50,0.05085127800703049,0.005488391499966383,0.04978957772254944,0.0053130569867789745,0.08897630125284195,0.025883646681904793
vlash,19318,12,0,50,0.058836620301008224,0.005975100211799145,0.05736299976706505,0.0057214247062802315,0.07937195152044296,0.013980942778289318
vlash,23181,15,0,50,0.06451056152582169,0.006784589495509863,0.07001136988401413,0.007300480268895626,0.07491663843393326,0.009786064736545086
vlash,27045,18,0,50,0.037260591983795166,0.0025343161541968584,0.0364513099193573,0.0024782007094472647,0.03204376623034477,0.002258818130940199
vlash,15454,10,4,50,0.05845833569765091,0.004960724618285894,0.05748280510306358,0.0051406072452664375,0.10286295413970947,0.03535731881856918
vlash,19318,12,4,50,0.04543251544237137,0.005129076540470123,0.04780498892068863,0.005400524009019136,0.06308899819850922,0.008013689890503883
vlash,23181,15,4,50,0.06633829325437546,0.005310376640409231,0.06240770220756531,0.005012678913772106,0.06529095023870468,0.006869885604828596
vlash,27045,18,4,50,0.01859225705265999,0.000550587777979672,0.01906031183898449,0.0005973711959086359,0.018874993547797203,0.0005665335338562727
vlash,15454,10,8,50,0.04415092244744301,0.004131013993173838,0.046007901430130005,0.0036700102500617504,0.13973307609558105,0.05066473409533501
vlash,19318,12,8,50,0.057114243507385254,0.005102361086755991,0.0585230216383934,0.0054451217874884605,0.0822490006685257,0.014932817779481411
vlash,23181,15,8,50,0.06747789680957794,0.006236380431801081,0.06714434921741486,0.00637164618819952,0.07928094267845154,0.013940175995230675
vlash,27045,18,8,50,0.018239866942167282,0.0006584284128621221,0.018735704943537712,0.0006911958917044103,0.02612532489001751,0.0018023101147264242
vlash,30908,20,0,50,0.06697015464305878,0.00756923807784915,0.06519100815057755,0.0075694057159125805,0.09777840971946716,0.01447518914937973
vlash,34772,23,0,50,0.06266839802265167,0.00803092960268259,0.06210342049598694,0.008202034048736095,0.0729813203215599,0.012079086154699326
vlash,38636,25,0,50,0.04877346381545067,0.004107323475182056,0.0476471371948719,0.004057120531797409,0.05979987978935242,0.006976376287639141
vlash,42499,28,0,50,0.0512380413711071,0.0037043150514364243,0.05206041783094406,0.0039000133983790874,0.11116606742143631,0.04669521749019623
vlash,30908,20,4,50,0.07041569799184799,0.009903929196298122,0.06986009329557419,0.009716306813061237,0.06139487773180008,0.007224021479487419
vlash,34772,23,4,50,0.03413098305463791,0.0016732842195779085,0.032178573310375214,0.001677800784818828,0.03980981931090355,0.002667349996045232
vlash,38636,25,4,50,0.037970785051584244,0.0020283435005694628,0.04268175736069679,0.00263588922098279,0.06661813706159592,0.008277089335024357
vlash,42499,28,4,50,0.08446712046861649,0.008389163762331009,0.08623272180557251,0.008770696818828583,0.14095298945903778,0.06093224510550499
vlash,30908,20,8,50,0.08840162307024002,0.017880702391266823,0.09087246656417847,0.01888185366988182,0.11233284324407578,0.026166921481490135
vlash,34772,23,8,50,0.04940798506140709,0.004471339751034975,0.04666296765208244,0.0038388201501220465,0.0420556515455246,0.003101740265265107
vlash,38636,25,8,50,0.05219842866063118,0.0043627601116895676,0.05185072869062424,0.004384963307529688,0.06964360177516937,0.008146635256707668
vlash,42499,28,8,50,0.045292217284440994,0.005380433984100819,0.04531366378068924,0.005443289875984192,0.06412377208471298,0.015431857667863369
vlash,46363,30,0,50,0.0393998920917511,0.0026402107905596495,0.0384039469063282,0.002436924260109663,0.04130975157022476,0.0024363279808312654
vlash,50226,33,0,50,0.057128649204969406,0.0055967639200389385,0.058706384152173996,0.005744882859289646,0.10423391312360764,0.01936333440244198
vlash,54090,36,0,50,0.16079561412334442,0.09395146369934082,0.18569032847881317,0.1312321275472641,0.2798860967159271,0.13567450642585754
vlash,57954,38,0,50,0.07803374528884888,0.008738245815038681,0.07420166581869125,0.00801784172654152,0.09246508777141571,0.014479542151093483
vlash,46363,30,4,50,0.04008013755083084,0.002833451610058546,0.040981143712997437,0.003023086115717888,0.04005192592740059,0.0031101417262107134
vlash,50226,33,4,50,0.07082299143075943,0.010142723098397255,0.06943210959434509,0.009931380860507488,0.10251928865909576,0.019754944369196892
vlash,54090,36,4,50,0.07874678820371628,0.01003762986510992,0.0753510594367981,0.009698139503598213,0.11952950805425644,0.02446441911160946
vlash,57954,38,4,50,0.067264623939991,0.0068816994316875935,0.060117337852716446,0.005656822118908167,0.07975704967975616,0.011705722659826279
vlash,46363,30,8,50,0.042629897594451904,0.003206586930900812,0.0417952761054039,0.0030857448000460863,0.04134809970855713,0.003050557104870677
vlash,50226,33,8,50,0.0563129261136055,0.005034926813095808,0.05468126758933067,0.004791725426912308,0.06499043852090836,0.007305520586669445
vlash,54090,36,8,50,0.05783406272530556,0.008074919693171978,0.056890182197093964,0.007477231323719025,0.14853918552398682,0.038711220026016235
vlash,57954,38,8,50,0.0825270339846611,0.012559404596686363,0.07635464519262314,0.011092611588537693,0.08014339208602905,0.010737118311226368
vlash,61817,41,0,50,0.054425954818725586,0.005556727293878794,0.056066472083330154,0.006168480962514877,0.12013355642557144,0.029465073719620705
vlash,65681,43,0,50,0.0972483828663826,0.018745223060250282,0.10302753001451492,0.022916216403245926,0.10415239632129669,0.02758040651679039
vlash,69544,46,0,50,0.09985332936048508,0.014068445190787315,0.09948162734508514,0.013695672154426575,0.12233638018369675,0.03759707883000374
vlash,73408,48,0,50,0.058688681572675705,0.005397488828748465,0.05920833721756935,0.00546825909987092,0.06176648661494255,0.006078849546611309
vlash,61817,41,4,50,0.051973167806863785,0.005952001549303532,0.049754880368709564,0.005508566740900278,0.11196127533912659,0.022418318316340446
vlash,65681,43,4,50,0.10270398110151291,0.015757614746689796,0.10520581901073456,0.017073379829525948,0.0795322060585022,0.011063197627663612
vlash,69544,46,4,50,0.061994608491659164,0.005870889872312546,0.06453435868024826,0.006105316337198019,0.10027947276830673,0.027647942304611206
vlash,73408,48,4,50,0.05218460038304329,0.004897450562566519,0.05200685188174248,0.004821846727281809,0.05415264517068863,0.005099955480545759
vlash,61817,41,8,50,0.047911081463098526,0.003716107690706849,0.04513215273618698,0.0030096753034740686,0.09454793483018875,0.015279337763786316
vlash,65681,43,8,50,0.07453292608261108,0.01389233861118555,0.07668308913707733,0.013909130357205868,0.0757800042629242,0.011741788126528263
vlash,69544,46,8,50,0.06914015859365463,0.0064734225161373615,0.06643421202898026,0.0059653171338140965,0.07999484986066818,0.02720491960644722
vlash,73408,48,8,50,0.0322662778198719,0.0025680996477603912,0.0334581658244133,0.002614817349240184,0.03281369060277939,0.0025494908913969994
vlash,77272,51,0,50,0.09262023121118546,0.013562147505581379,0.0933312326669693,0.013485814444720745,0.11270202696323395,0.020776215940713882
vlash,81135,54,0,50,0.0918966606259346,0.014804304577410221,0.09544428437948227,0.016454732045531273,0.09438811242580414,0.014799913391470909
vlash,84999,56,0,50,0.07193450629711151,0.00801699049770832,0.07173239439725876,0.00811168272048235,0.15292741358280182,0.06734788417816162
vlash,88862,59,0,50,0.05372467264533043,0.004646304529160261,0.05680320784449577,0.005002799443900585,0.1102721095085144,0.029511645436286926
vlash,77272,51,4,50,0.05501710623502731,0.005035444628447294,0.0598205029964447,0.005548913963139057,0.11354493349790573,0.02699987217783928
vlash,81135,54,4,50,0.07856407016515732,0.009767914190888405,0.08141336590051651,0.010177056305110455,0.11736085265874863,0.023943718522787094
vlash,84999,56,4,50,0.0656851977109909,0.006176374852657318,0.06491362303495407,0.00588283920660615,0.148686021566391,0.07245337218046188
vlash,88862,59,4,50,0.06694529205560684,0.008516465313732624,0.06460825353860855,0.00813062023371458,0.14691686630249023,0.06478527933359146
vlash,77272,51,8,50,0.07423324882984161,0.00994636956602335,0.08784810453653336,0.014772802591323853,0.1352929174900055,0.0460759773850441
vlash,81135,54,8,50,0.05496124550700188,0.004632062744349241,0.06300390511751175,0.0062739732675254345,0.09403546154499054,0.015334805473685265
vlash,84999,56,8,50,0.07973987609148026,0.009797819890081882,0.07800903171300888,0.009459997527301311,0.13276910781860352,0.03827699273824692
vlash,88862,59,8,50,0.0803312435746193,0.01953958533704281,0.07888083904981613,0.01706189289689064,0.11204715073108673,0.025356750935316086
vlash,92726,61,0,50,0.07062681764364243,0.008243422023952007,0.07910116761922836,0.010661252774298191,0.09648271650075912,0.018298568204045296
vlash,96590,64,0,50,0.05583786219358444,0.0059398869052529335,0.05556842312216759,0.005876083392649889,0.13809284567832947,0.050474170595407486
vlash,100453,66,0,47,0.0451446957886219,0.003445299109444022,0.04574510082602501,0.003549298970028758,0.0472535565495491,0.0037863741163164377
vlash,104317,69,0,50,0.07249895483255386,0.007878312841057777,0.0739937573671341,0.008256007917225361,0.07237933576107025,0.009132456965744495
vlash,92726,61,4,50,0.04372113198041916,0.0026226446498185396,0.04079046845436096,0.002603071043267846,0.07063958048820496,0.012895590625703335
vlash,96590,64,4,50,0.05025593563914299,0.004478804767131805,0.05062863603234291,0.004621159750968218,0.12926554679870605,0.04764838516712189
vlash,100453,66,4,43,0.04048866033554077,0.00264094234444201,0.0398002527654171,0.0025258620735257864,0.03611789643764496,0.00242248154245317
vlash,104317,69,4,50,0.05560186505317688,0.005668001715093851,0.058302704244852066,0.006471529137343168,0.0672859251499176,0.008508608676493168
vlash,92726,61,8,50,0.03331483528017998,0.002366699744015932,0.03965093940496445,0.0030534870456904173,0.0642036721110344,0.008720909245312214
vlash,96590,64,8,50,0.09754721075296402,0.017416004091501236,0.11167967319488525,0.0276297926902771,0.10115500539541245,0.027951277792453766
vlash,100453,66,8,39,0.03665823116898537,0.002292398363351822,0.03648507222533226,0.0022336081601679325,0.03678925335407257,0.002290179952979088
vlash,104317,69,8,50,0.05131273716688156,0.004989468492567539,0.0543120913207531,0.005572473164647818,0.07332509011030197,0.009534734301269054
vlash,108180,72,0,50,0.04309963062405586,0.002996084513142705,0.044455476105213165,0.0030550521332770586,0.11183677613735199,0.03905497491359711
vlash,112044,74,0,50,0.05389731749892235,0.005116191226989031,0.05262543633580208,0.004874721635133028,0.0847359448671341,0.01706496626138687
vlash,115908,77,0,50,0.06419127434492111,0.008042069151997566,0.06596165150403976,0.00838475115597248,0.07344676554203033,0.009515829384326935
vlash,119771,79,0,50,0.05372276157140732,0.005376895423978567,0.05891770124435425,0.006172278430312872,0.08730047196149826,0.017208192497491837
vlash,108180,72,4,50,0.04400276392698288,0.0026619017589837313,0.04231264069676399,0.0024912734515964985,0.06168200820684433,0.013633428141474724
vlash,112044,74,4,50,0.04358512535691261,0.0027601993642747402,0.041667528450489044,0.002449231455102563,0.07326706498861313,0.010803994722664356
vlash,115908,77,4,50,0.0732956975698471,0.014319859445095062,0.07222365587949753,0.013494023121893406,0.12190081924200058,0.028050551190972328
vlash,119771,79,4,50,0.05047003552317619,0.004110736306756735,0.05267394706606865,0.004360242281109095,0.0847351998090744,0.012619033455848694
vlash,108180,72,8,50,0.04692946746945381,0.0037782187573611736,0.04742223396897316,0.003910519648343325,0.06443163007497787,0.006838567089289427
vlash,112044,74,8,50,0.02805432677268982,0.0011432550381869078,0.02578120119869709,0.0010551608866080642,0.0666133314371109,0.010973066091537476
vlash,115908,77,8,50,0.05384603142738342,0.00635870173573494,0.05270998924970627,0.0062066032551229,0.11061061173677444,0.03317222744226456
vlash,119771,79,8,50,0.04558662325143814,0.0035320159513503313,0.04994590952992439,0.004318261053413153,0.08726365119218826,0.014727931469678879
vlash,123635,82,0,50,0.08182131499052048,0.009593278169631958,0.09503519535064697,0.012878524139523506,0.09175503253936768,0.0155106820166111
vlash,127499,84,0,1,0.029617931693792343,0.0015923622995615005,0.029617931693792343,0.0015923622995615005,0.029617931693792343,0.0015923622995615005
vlash,123635,82,4,50,0.08070579916238785,0.011511431075632572,0.06954143941402435,0.008000431582331657,0.06833606958389282,0.00915057584643364
vlash,127499,84,4,0,nan,nan,nan,nan,nan,nan
vlash,123635,82,8,50,0.05679231882095337,0.005241615232080221,0.06310272961854935,0.0060454485937952995,0.0763344019651413,0.01092599332332611
vlash,127499,84,8,0,nan,nan,nan,nan,nan,nan
